project,model,run_id,status,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_27-training-_20260712_182523,success,0.3818855285644531,0.024954259395599365,0.05832874774932861,21.324846267700195,20.942960739135742,0.707495391368866,0.6825411319732666,0.3952225148677826,0.4535512626171112,-0.009550191462039948,427686,73.0513288974762,1.8413084812479656,1.181155952824815,0.7000000027571127
Pix4d_forensic,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,pix4d_forensic_phase2_run1_27-training-_20260712_184530,success,1.0008583068847656,0.14887738227844238,0.2320324182510376,24.92041778564453,23.919559478759766,0.6699469089508057,0.5210695266723633,0.41693973541259766,0.6489721536636353,-0.02554183453321457,1964721,209.02590203285217,1.6478653614491223,1.6478653614491223,0.7000000027571127
Telc_sv_Jakub_March_18,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,telc_sv_jakub_march_18_phase2_run1_27-training-_20260712_190853,success,0.3510856628417969,0.03570073843002319,0.07505500316619873,21.4901065826416,21.139020919799805,0.7431781888008118,0.7074774503707886,0.3567849099636078,0.4318399131298065,0.0005264505743980408,1545595,215.6853804588318,1.6478653614491223,1.3198119970798372,0.7000000027571127
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,tiburon_angel_islands_state_park_split_group_3_phase2_run1_27-training-_20260712_193351,success,0.05303955078125,0.037158071994781494,0.07634139060974121,20.243732452392578,20.190692901611328,0.6748981475830078,0.6377400755882263,0.438046395778656,0.5143877863883972,-0.010024063289165497,1462700,164.44246363639832,1.6478653614491223,1.181155952824815,0.7000000027571127
morice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,morice_phase2_run1_27-training-_20260712_200114,success,0.8579254150390625,0.057201266288757324,0.10490544140338898,29.3524227142334,28.494497299194336,0.8572837710380554,0.8000825047492981,0.16905872523784637,0.27396416664123535,-0.008063506335020065,1961839,284.7324471473694,1.6478653614491223,1.3198119970798372,0.7000000027571127
uncovice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,uncovice_phase2_run1_27-training-_20260712_203054,success,0.13019180297851562,0.043051719665527344,0.09257125854492188,22.777441024780273,22.647249221801758,0.7015964984893799,0.6585447788238525,0.41996920108795166,0.5125404596328735,0.026787571609020233,1031514,137.3513379096985,1.6478653614491223,1.6478653614491223,0.7000000027571127
DJI_202402171501_006_KTM20-oblique,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260712_230432,success,-0.08631134033203125,0.027519166469573975,0.06900076568126678,22.58514976501465,22.67146110534668,0.7724666595458984,0.7449474930763245,0.24005325138568878,0.30905401706695557,-0.0023352429270744324,3293891,1696.1563816070557,2.568863543154017,1.181155952824815,0.7000000027571127
12-Maisonneuve Market,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,12_maisonneuve_market_phase2_run1_july13_20260713_095818,success,-0.6805286407470703,-0.004985511302947998,-0.006795287132263184,16.41773223876953,17.0982608795166,0.6482682824134827,0.6532537937164307,0.4807518720626831,0.4739565849304199,0.006308339536190033,237617,80.96972274780273,1.181155952824815,1.181155952824815,0.7000000027571127
4-Thomas-More-Church,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,4_thomas_more_church_phase2_run1_july13_20260713_102256,success,0.30945777893066406,0.019812345504760742,0.04115426540374756,22.176898956298828,21.867441177368164,0.7999257445335388,0.7801133990287781,0.260840505361557,0.30199477076530457,-0.021289534866809845,782426,189.1254599094391,1.0570667549471469,1.181155952824815,0.7000000027571127
Brasov,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,brasov_phase2_run1_july13_20260713_122722,success,-0.053577423095703125,0.004299759864807129,0.014860332012176514,23.308656692504883,23.362234115600586,0.8065834045410156,0.8022836446762085,0.17768220603466034,0.19254253804683685,0.0002997554838657379,-900600,-73.61293840408325,2.2989853881058138,0.8466282522713717,1.4299999938913033
Changu,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,changu_phase2_run1_july13_20260713_130702,success,0.1379261016845703,0.010831773281097412,0.019203543663024902,20.11827850341797,19.9803524017334,0.6329358220100403,0.6221040487289429,0.4989345073699951,0.51813805103302,0.0012829229235649109,488481,66.16037893295288,0.9460140481383315,1.0570667549471469,0.7000000027571127
Chatteau_circle_60_and_45_degrees,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,chatteau_circle_60_and_45_degrees_phase2_run1_july13_20260713_134212,success,-0.3290977478027344,-0.05633676052093506,-0.12724661827087402,23.046329498291016,23.37542724609375,0.5111361742019653,0.5674729347229004,0.576518177986145,0.449271559715271,0.011164724826812744,-284052,-17.58155608177185,1.181155952824815,0.8466282522713717,1.4299999938913033
DJI_202402171501_006_KTM20-oblique,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,dji_202402171501_006_ktm20_oblique_phase2_run1_july13_20260713_140027,success,-0.5726432800292969,-0.032213449478149414,-0.019220471382141113,22.098817825317383,22.67146110534668,0.712734043598175,0.7449474930763245,0.3282744884490967,0.30905401706695557,-0.002084091305732727,-1658384,-297.5579717159271,2.8704227540887186,0.678083386273661,1.4299999938913033
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,kninice_church_of_the_exaltation_of_the_holy_cross_phase2_run1_july13_20260713_142954,success,-0.5307254791259766,-0.01998060941696167,-0.04161083698272705,20.412235260009766,20.942960739135742,0.6625605225563049,0.6825411319732666,0.49516209959983826,0.4535512626171112,0.0006732717156410217,-165842,-15.59827971458435,0.9460140481383315,0.7576836717748889,1.4299999938913033
Pix4d_forensic,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,pix4d_forensic_phase2_run1_july13_20260713_144737,success,0.9011898040771484,0.1048135757446289,0.15647533535957336,24.820749282836914,23.919559478759766,0.6258831024169922,0.5210695266723633,0.4924968183040619,0.6489721536636353,-0.018553800880908966,1121277,138.60039377212524,1.3198119970798372,1.3198119970798372,0.7000000027571127
Telc_sv_Jakub_March_18,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,telc_sv_jakub_march_18_phase2_run1_july13_20260713_150850,success,0.37737464904785156,0.026820063591003418,0.05874630808830261,21.516395568847656,21.139020919799805,0.734297513961792,0.7074774503707886,0.3730936050415039,0.4318399131298065,-0.0014036409556865692,1128753,139.5000569820404,1.3198119970798372,1.181155952824815,0.7000000027571127
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,tiburon_angel_islands_state_park_split_group_3_phase2_run1_july13_20260713_153129,success,-0.020612716674804688,-0.000874638557434082,0.009932219982147217,20.170080184936523,20.190692901611328,0.6368654370307922,0.6377400755882263,0.50445556640625,0.5143877863883972,0.004020422697067261,-314187,-33.97653102874756,1.6478653614491223,1.0570667549471469,1.4299999938913033
morice,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,morice_phase2_run1_july13_20260713_155353,success,-0.49024200439453125,-0.024925649166107178,-0.04425877332687378,28.004255294799805,28.494497299194336,0.7751568555831909,0.8000825047492981,0.31822293996810913,0.27396416664123535,0.0024689137935638428,-426830,-53.63437557220459,1.0570667549471469,0.9460140481383315,1.4299999938913033
uncovice,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,uncovice_phase2_run1_july13_20260713_161644,success,-0.08185768127441406,0.01102447509765625,0.027280449867248535,22.565391540527344,22.647249221801758,0.6695692539215088,0.6585447788238525,0.485260009765625,0.5125404596328735,-0.0038419440388679504,333848,24.286192417144775,0.9460140481383315,1.0570667549471469,0.7000000027571127
12-Maisonneuve Market,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,12_maisonneuve_market_phase2_run1_27-training-_20260718_194650,success,-0.2785015106201172,-0.017721891403198242,-0.020728111267089844,16.819759368896484,17.0982608795166,0.6355319023132324,0.6532537937164307,0.49468469619750977,0.4739565849304199,0.013089843094348907,-13399,35.65807342529297,4.999999987829498,0.678083386273661,0.7000000027571127
12-Maisonneuve Market,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,12_maisonneuve_market_phase2_run1_27-training-_20260718_195854,success,-0.6519584655761719,-0.00659710168838501,-0.008133769035339355,16.44630241394043,17.0982608795166,0.6466566920280457,0.6532537937164307,0.4820903539657593,0.4739565849304199,0.019210197031497955,136670,52.140398025512695,3.5838970148357925,1.3198119970798372,0.7000000027571127
4-Thomas-More-Church,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,4_thomas_more_church_phase2_run1_27-training-_20260718_201113,success,0.02400970458984375,-0.007027328014373779,0.009623855352401733,21.891450881958008,21.867441177368164,0.7730860710144043,0.7801133990287781,0.29237091541290283,0.30199477076530457,-0.03412242233753204,-10662,62.12465524673462,4.999999987829498,0.43497449143159744,0.7000000027571127
4-Thomas-More-Church,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,4_thomas_more_church_phase2_run1_27-training-_20260718_202249,success,0.03799629211425781,0.036482810974121094,0.08816415071487427,21.905437469482422,21.867441177368164,0.8165962100028992,0.7801133990287781,0.2138306200504303,0.30199477076530457,-0.026203282177448273,1296472,169.4160783290863,3.5838970148357925,1.3198119970798372,0.7000000027571127
Brasov,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,brasov_phase2_run1_27-training-_20260718_203620,success,-0.6208286285400391,-0.012262821197509766,0.011734023690223694,22.741405487060547,23.362234115600586,0.7900208234786987,0.8022836446762085,0.18080851435661316,0.19254253804683685,-0.012589730322360992,-159418,60.5855028629303,4.999999987829498,0.43497449143159744,0.7000000027571127
Brasov,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,brasov_phase2_run1_27-training-_20260718_205826,hard_cap_reached,,,,,23.362234115600586,,0.8022836446762085,,0.19254253804683685,,,,3.2073820383133804,1.181155952824815,0.7000000027571127
Changu,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,changu_phase2_run1_27-training-_20260718_212438,success,-1.8282241821289062,-0.11675137281417847,-0.15290939807891846,18.152128219604492,19.9803524017334,0.5053526759147644,0.6221040487289429,0.6710474491119385,0.51813805103302,0.0024382472038269043,-278166,70.0602777004242,4.999999987829498,0.43497449143159744,0.7000000027571127
Changu,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,changu_phase2_run1_27-training-_20260718_214257,success,-0.4479541778564453,-0.012749433517456055,0.012576401233673096,19.532398223876953,19.9803524017334,0.6093546152114868,0.6221040487289429,0.5055616497993469,0.51813805103302,0.03325752913951874,468056,101.9185528755188,3.2073820383133804,1.3198119970798372,0.7000000027571127
Chatteau_circle_60_and_45_degrees,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260718_220152,success,0.7946224212646484,0.07053452730178833,0.12327331304550171,24.1700496673584,23.37542724609375,0.6380074620246887,0.5674729347229004,0.3259982466697693,0.449271559715271,-0.0426664799451828,299234,88.13573551177979,4.999999987829498,0.5430920512147099,0.7000000027571127
Chatteau_circle_60_and_45_degrees,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,chatteau_circle_60_and_45_degrees_phase2_run1_27-training-_20260718_221240,success,0.5714931488037109,0.09905779361724854,0.21535350382328033,23.94692039489746,23.37542724609375,0.6665307283401489,0.5674729347229004,0.23391805589199066,0.449271559715271,-0.04083957150578499,1803176,338.75400161743164,3.2073820383133804,1.3198119970798372,0.7000000027571127
DJI_202402171501_006_KTM20-oblique,model_compact-mlp_20260718_194519_compact_mlp_july18_with_hardcap_data_final_offline_data_june_27-training-data,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260718_222750,success,-1.2399368286132812,-0.04729652404785156,-0.007653921842575073,21.4315242767334,22.67146110534668,0.6976509690284729,0.7449474930763245,0.31670793890953064,0.30905401706695557,-0.0024478957056999207,-421577,-65.69119644165039,4.999999987829498,0.5430920512147099,0.7000000027571127
DJI_202402171501_006_KTM20-oblique,model_compact-mlp_20260718_194410_compact_mlp_july18_final_offline_data_june_27-training-data-compact-featurewise-mlp,dji_202402171501_006_ktm20_oblique_phase2_run1_27-training-_20260718_224629,success,-0.5181198120117188,0.013458967208862305,0.057757049798965454,22.15334129333496,22.67146110534668,0.7584064602851868,0.7449474930763245,0.2512969672679901,0.30905401706695557,0.003163546323776245,2630998,1172.737905740738,3.2073820383133804,1.181155952824815,0.7000000027571127
