project,model,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
Changu,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.15415573120117188,0.024268507957458496,0.054732829332351685,20.13450813293457,19.9803524017334,0.6463725566864014,0.6221040487289429,0.46340522170066833,0.51813805103302,-0.012988761067390442,895273,160.79729342460632,1.0,1.0,1.0
Changu,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-1.436880111694336,-0.11722499132156372,-0.1583845019340515,18.543472290039062,19.9803524017334,0.5048790574073792,0.6221040487289429,0.6765225529670715,0.51813805103302,0.0032457932829856873,-285368,9.423339366912842,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.3022003173828125,0.08493208885192871,0.19725918769836426,23.677627563476562,23.37542724609375,0.6524050235748291,0.5674729347229004,0.25201237201690674,0.449271559715271,0.03324203938245773,1893738,357.38786339759827,1.0,1.0,1.0
Chatteau_circle_60_and_45_degrees,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,0.7685813903808594,0.06383180618286133,0.11032870411872864,24.14400863647461,23.37542724609375,0.6313047409057617,0.5674729347229004,0.33894285559654236,0.449271559715271,0.04092378169298172,223095,78.92162156105042,1.0,1.0,1.0
DJI_202402171501_006_KTM20-oblique,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-1.2718429565429688,-0.041213274002075195,-0.0010788440704345703,21.39961814880371,22.67146110534668,0.7037342190742493,0.7449474930763245,0.31013286113739014,0.30905401706695557,-0.002322465181350708,-193876,-39.75201916694641,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.3818855285644531,0.024954259395599365,0.05832874774932861,21.324846267700195,20.942960739135742,0.707495391368866,0.6825411319732666,0.3952225148677826,0.4535512626171112,0.009550191462039948,427686,75.94146752357483,1.0,1.0,1.0
Kninice_Church_of_the_Exaltation_of_the_Holy_Cross,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-0.5072975158691406,-0.023283541202545166,-0.018895238637924194,20.4356632232666,20.942960739135742,0.6592575907707214,0.6825411319732666,0.4724465012550354,0.4535512626171112,0.0273909792304039,-85574,18.183084964752197,1.0,1.0,1.0
Pix4d_forensic,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,1.0008583068847656,0.14887738227844238,0.2320324182510376,24.92041778564453,23.919559478759766,0.6699469089508057,0.5210695266723633,0.41693973541259766,0.6489721536636353,0.02554183453321457,1964721,217.0844976902008,1.0,1.0,1.0
Pix4d_forensic,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-0.2966899871826172,-0.03259286284446716,-0.021981775760650635,23.62286949157715,23.919559478759766,0.4884766638278961,0.5210695266723633,0.6709539294242859,0.6489721536636353,0.04853428900241852,-76890,6.808860778808594,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.3510856628417969,0.03570073843002319,0.07505500316619873,21.4901065826416,21.139020919799805,0.7431781888008118,0.7074774503707886,0.3567849099636078,0.4318399131298065,-0.0005264505743980408,1545595,218.64336681365967,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-1.8179817199707031,-0.03781241178512573,-0.03475421667098999,19.3210391998291,21.139020919799805,0.6696650385856628,0.7074774503707886,0.4665941298007965,0.4318399131298065,0.017755523324012756,-263400,-13.790215492248535,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.05303955078125,0.037158071994781494,0.07634139060974121,20.243732452392578,20.190692901611328,0.6748981475830078,0.6377400755882263,0.438046395778656,0.5143877863883972,0.010024063289165497,1462700,171.55275678634644,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-2.06072998046875,-0.12037324905395508,-0.13129287958145142,18.129962921142578,20.190692901611328,0.5173668265342712,0.6377400755882263,0.6456806659698486,0.5143877863883972,0.030278280377388,-591715,-40.98764657974243,1.0,1.0,1.0
morice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.8579254150390625,0.057201266288757324,0.10490544140338898,29.3524227142334,28.494497299194336,0.8572837710380554,0.8000825047492981,0.16905872523784637,0.27396416664123535,0.008063506335020065,1961839,294.20126605033875,1.0,1.0,1.0
morice,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,0.5985355377197266,0.0301055908203125,0.069290891289711,29.093032836914062,28.494497299194336,0.8301880955696106,0.8000825047492981,0.20467327535152435,0.27396416664123535,0.02046048641204834,227952,26.62480115890503,1.0,1.0,1.0
uncovice,model_compact-ridge_20260712_131550_final_offline_data_june_27-training-data-compact-ridge,0.13019180297851562,0.043051719665527344,0.09257125854492188,22.777441024780273,22.647249221801758,0.7015964984893799,0.6585447788238525,0.41996920108795166,0.5125404596328735,-0.026787571609020233,1031514,139.7472767829895,1.0,1.0,1.0
uncovice,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,-1.1476249694824219,-0.06403827667236328,-0.07922643423080444,21.499624252319336,22.647249221801758,0.5945065021514893,0.6585447788238525,0.591766893863678,0.5125404596328735,0.03937578946352005,-199636,4.56584620475769,1.0,1.0,1.0
Brasov,model_compact-mlp_20260712_131618_final_offline_data_june_27-training-data-compact-mlp,0.18828773498535156,0.0336570143699646,0.058048754930496216,23.550521850585938,23.362234115600586,0.8359406590461731,0.8022836446762085,0.13449378311634064,0.19254253804683685,-0.0029225610196590424,3594539,6186.481294870377,1.0,1.0,1.0
